case_id,incident_date,location,shape,speed_kts,altitude_ft,duration_s,heading_deg,sensor_mode,artifact_flag,candidate_class,confidence,notes
D4,2020,Arabian Gulf,unknown,321,unknown,unknown,090,EO+IR,none,unknown,high,"increased speed, turned east"
D5,2020,Arabian Gulf,unknown,278,unknown,unknown,180,EO+IR,none,unknown,high,"two UAP, turned south"
D7,2020,Arabian Gulf,balloon-like,unknown,unknown,unknown,unknown,EO+IR,none,probable_balloon,medium,"described as looking like balloon"
D8,2025,Djibouti,unknown,240,unknown,unknown,unknown,EO,none,unknown,high,"two objects, ~240 nm/h"
D10,2022-05,Middle East,multiple,unknown,unknown,unknown,unknown,EO/FMV,possible,probable_missile,medium,"5 objects, one assessed possible missile"
D12,2022-2024,Syria/Iraq,unknown,unknown,unknown,unknown,045,EO/FMV,none,unknown,low,"vector N -> NE"
D14,2022-2024,Syria/Iraq,unknown,unknown,unknown,unknown,045,EO/FMV,none,unknown,low,"vector N -> NE"
D16,2022-2024,Syria/Iraq,unknown,unknown,unknown,unknown,180,EO/FMV,none,unknown,low,"vector N -> S"
D18,2022-2024,Syria/Iraq,unknown,unknown,unknown,unknown,090,EO/FMV,none,unknown,low,"vector W -> E"
D19,2020-ish,unknown,unknown,unknown,2100,unknown,unknown,EO/FMV,none,probable_balloon,high,"explicit possible balloon"
D20,2020,Southern US,unknown,unknown,unknown,20,unknown,targeting_pod,sensor_loss,unknown,high,"dimmed & disappeared from pod (sensor loss reference)"
D25,2024-01,Greece (Mediterranean),diamond + non-maneuvering probe below,434,~unknown,120,unknown,SWIR_only,none,unknown_high_interest,high,"invisible to EO and standard MWIR/LWIR; SWIR-only"
D27,2023-10,UAE / Gulf of Oman,unknown,163,24000,unknown,unknown,EO/IR,none,unknown,high,""
D28,2024-09,Iraq,unknown,unknown,unknown,unknown,unknown,MX-20/MX-25 IR,probable_lens_flare,sensor_artifact,medium,"post-missile launch, lens flare context"
D32,unknown,unknown,unknown,unknown,unknown,unknown,unknown,FMV,probable_glare,sensor_artifact,medium,"white glare/halo top of FMV"
D33,2023-10,Greece (Aegean),unknown,~70,sea_skim,unknown,unknown,EO/IR,none,unknown_high_interest,high,"~80 mph, multiple 90deg turns just above ocean"
D35,2023-10,Greece (Aegean),unknown,unknown,sea_skim,unknown,unknown,EO/IR,none,unknown,medium,"straight above ocean toward land"
D38,2020-05,Persian Gulf,solid white,unknown,unknown,unknown,unknown,EO,none,unknown,medium,"erratic movement above water"
D44,2020-10,Gulf of Aden,unknown,~17,low,unknown,319,IR_black_hot,none,unknown_high_interest,high,"~20 mph, abrupt direction changes, NW heading"
D54,unknown,Mediterranean,triangular metallic,unknown,unknown,unknown,unknown,EO,none,unknown,low,"shape only"
D55,2016-11,Syria,unknown,500,sea_skim,120,135,EO/IR,none,unknown_high_interest,high,"sustained ~500 kt sea skim, lost contact 2 min"
D56,2020-08,Arabian Sea,wings/airframe,unknown,unknown,unknown,unknown,IR,none,probable_aircraft,high,"3 objects in formation, maintained course/speed/alt"
D57,2020-09,Gulf of Aden,unknown,~241,unknown,unknown,168,IR_black_hot,none,unknown,high,"~277 mph, abrupt direction changes"
D58,2020-10,unknown,balloon-shaped metallic,unknown,unknown,unknown,unknown,EO/IR,none,probable_balloon,high,"2x red blinking strobes, reflective"
D60,2020-08,Persian Gulf,unknown,unknown,unknown,unknown,unknown,FMV,cloud_occlusion,unknown,medium,"dense cloud intermittently blocked FMV"
D61,2020-08,Persian Gulf,formation,unknown,unknown,unknown,unknown,FMV,cloud_occlusion,unknown,medium,"light cloud; formation reported"
D62,2020-09,Strait of Hormuz,unknown,unknown,1800,unknown,unknown,EO/IR,none,unknown,high,""
D74,2023-11,Syria,bouncy-ball-shaped,424,unknown,420,000,EO/IR,none,unknown_high_interest,high,"sustained >=7 min from south"
D75,2024-07,Gulf of Aden,unknown,>jet,unknown,unknown,unknown,EO/IR,none,unknown,medium,"straight, faster than typical aircraft"
PR20,2022-05,Iraq,elongated contrast,unknown,unknown,unknown,unknown,still_image,possible,sensor_artifact,low,"elongated contrast top-left of frame"
PR28,2024-01,Greece,inverted teardrop + vertical trailing mass,unknown,unknown,unknown,unknown,EO,none,unknown_high_interest,medium,"morphology matches D25"
PR29,2024-06,Gulf of Oman,inverted teardrop + vertical trailing mass,unknown,unknown,unknown,unknown,EO,none,unknown_high_interest,medium,"morphology matches D25/PR28"
